project,canonical_id,source,cwe,publish_at,cve_id,adv_id,intro_time_verdict,vuln_exists_at_intro_version,manual_review_needed,architecture_type,architecture_confidence,classification_type,primary_module,secondary_modules,category,category_name,module_from_step2_primary,module_from_step2_secondary,module_from_step2_classification_type,input_type,input_subtype,mechanism_type,mechanism_subtype,requires_ai_function,ai_native_subtype,cross_agent,difficulty,confidence,overall_confidence,manual_review_reason,fail_code,fail_reason
0xKoda_WireMCP,CVE-2026-3959,cves,"CWE-77, CWE-78",2026-03-11T22:16:37.193,CVE-2026-3959,,correct,yes,no,mcp_server,high,matched_existing_module,mcp_server,tool_execution,A,传统类型漏洞,mcp_server,tool_execution,matched_existing_module,api_input,mcp_tool_argument,injection,command_injection,no,none,no,easy,high,,,,
AstrBotDevs_AstrBot,CVE-2025-48957,cves,"CWE-23, CWE-22",2025-06-02T12:15:25.680,CVE-2025-48957,GHSA-cq37-g2qp-3c2p,correct,yes,no,llm_application_platform,medium,matched_existing_module,input_validation,"rest_api, authentication",A,传统类型漏洞,input_validation,"rest_api, authentication",matched_existing_module,user_input,query_parameter,injection,path_traversal,no,none,no,easy,medium,,,,
AstrBotDevs_AstrBot,CVE-2025-55449,cves,CWE-321,2026-05-08T07:16:28.047,CVE-2025-55449,GHSA-4m32-cjv7-f425,correct,yes,no,plugin_based_ai_extension,medium,matched_existing_module,authentication,"rest_api, dashboard_ui",A,传统类型漏洞,authentication,"rest_api, dashboard_ui",matched_existing_module,api_input,jwt_token,auth_bypass,hardcoded_jwt_secret,no,none,no,easy,high,,,,
AstrBotDevs_AstrBot,CVE-2025-57697,cves,CWE-125,2025-11-07T18:15:36.200,CVE-2025-57697,,correct,yes,no,plugin_based_ai_extension,high,matched_existing_module,input_validation,"llm_provider_abstraction, message_pipeline, multimodal_message",A,传统类型漏洞,input_validation,"llm_provider_abstraction, message_pipeline, multimodal_message",matched_existing_module,user_input,file_path,path_traversal,none,no,none,no,easy,high,,,,
AstrBotDevs_AstrBot,CVE-2025-57698,cves,CWE-22,2025-11-07T17:15:47.660,CVE-2025-57698,,incorrect,no,no,plugin_based_ai_extension,high,matched_existing_module,marketplace,"rest_api, plugin_loader",A,传统类型漏洞,marketplace,"rest_api, plugin_loader",matched_existing_module,file_input,file_upload_filename,path_traversal,insufficient_path_normalization,no,none,no,not_applicable,high,,,,
AstrBotDevs_AstrBot,CVE-2026-6117,cves,"CWE-264, CWE-265",2026-04-12T05:16:01.287,CVE-2026-6117,,correct,yes,no,plugin_based_ai_extension,medium,matched_existing_module,plugin_loader,"rest_api, plugin_registry",A,传统类型漏洞,plugin_loader,"rest_api, plugin_registry",matched_existing_module,file_input,zip_archive,injection,code_injection,no,none,no,easy,high,,,,
AstrBotDevs_AstrBot,CVE-2026-6118,cves,"CWE-74, CWE-77",2026-04-12T05:16:01.560,CVE-2026-6118,,correct,yes,no,ai_agent_framework,medium,matched_existing_module,mcp_client,"rest_api, dashboard_ui",A,传统类型漏洞,mcp_client,"rest_api, dashboard_ui",matched_existing_module,api_input,json_payload,injection,command_injection,no,none,no,easy,high,,,,
AstrBotDevs_AstrBot,CVE-2026-6119,cves,CWE-918,2026-04-12T06:16:21.927,CVE-2026-6119,,insufficient_evidence,insufficient_evidence,yes,plugin_based_ai_extension,medium,matched_existing_module,marketplace,"rest_api, plugin_loader",A,传统类型漏洞,marketplace,"rest_api, plugin_loader",matched_existing_module,api_input,json_body,server_side_request_forgery,none,no,none,no,insufficient_evidence,high,,,,
AstrBotDevs_AstrBot,CVE-2026-6984,cves,"CWE-791, CWE-1336",2026-04-25T16:16:17.550,CVE-2026-6984,,correct,yes,no,llm_application_platform,medium,matched_existing_module,input_validation,"rest_api, message_pipeline",A,传统类型漏洞,input_validation,"rest_api, message_pipeline",matched_existing_module,api_input,json_template_content,injection,server_side_template_injection,no,none,no,medium,high,,,,
AstrBotDevs_AstrBot,CVE-2026-7579,cves,"CWE-259, CWE-798",2026-05-01T12:16:17.027,CVE-2026-7579,,correct,yes,no,insufficient_evidence,low,matched_existing_module,authentication,"config_loader, rest_api",A,传统类型漏洞,authentication,"config_loader, rest_api",matched_existing_module,user_input,credential,auth_bypass,hardcoded_credential,no,none,no,easy,high,,,,
